longitude,latitude,age_ma,age_error_ma,rock_type,dating_method,reference
-59.9166666666667,-3.33333333333335,133.0,7.0,Basalt,,Mizusaki et al. (2002)
-59.5535,-3.75633333333334,169.0,10.0,Basalt,,Mizusaki et al. (2002)
-59.8833333333333,-3.25,174.0,3.0,Basalt,,Mizusaki et al. (2002)
-59.8833333333333,-3.25,178.0,7.0,Basalt,,Mizusaki et al. (2002)
-60.1666666666667,-3.16666666666665,146.0,6.0,Basalt,,Mizusaki et al. (2002)
-59.55,-3.33333333333335,131.0,38.0,Basalt,,Mizusaki et al. (2002)
-61.0,-3.5,127.0,19.0,Basalt,,Mizusaki et al. (2002)
-60.9166666666667,-2.0,148.0,0.0,Basalt,,Mizusaki et al. (2002)
-60.8333333333333,-1.91666666666665,131.0,14.0,Basalt,,Mizusaki et al. (2002)
-60.6666666666667,-2.66666666666665,132.0,13.0,Basalt,,Mizusaki et al. (2002)
-60.9166666666667,-2.16666666666665,161.0,17.0,Basalt,,Mizusaki et al. (2002)
-60.5,-3.66666666666667,177.0,16.0,Basalt,,Mizusaki et al. (2002)
-60.0,-3.16666666666665,179.0,3.0,Basalt,,Mizusaki et al. (2002)
-73.1901666666667,-6.802,177.0,0.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-73.1038333333333,-6.251,194.0,12.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-70.6406666666667,-6.8075,263.0,10.0,Tufo tr./alk.,,Mizusaki et al. (2002)
-70.6406666666667,-6.8075,294.0,22.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-70.6406666666667,-6.8075,302.0,29.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-66.3401666666667,-4.87183333333333,116.0,10.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-66.3401666666667,-4.87183333333333,117.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-66.5185,-4.89283333333333,138.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-66.2521666666667,-4.78466666666668,141.0,2.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-64.6833333333334,-3.35333333333332,142.0,10.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-66.3705,-4.82383333333334,144.0,3.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-66.3401666666667,-4.87183333333333,157.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-66.9563333333333,-5.20233333333334,162.0,16.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-66.3401666666667,-4.5385,164.0,4.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-62.1205,-3.81783333333335,163.0,7.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-66.0516666666667,-4.45483333333334,167.0,7.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-67.476,-5.5425,170.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-63.7046666666667,-5.69183333333333,170.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-66.0716666666667,-3.517,177.0,0.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-67.476,-5.5425,182.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-63.7046666666667,-5.6885,182.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-66.419,-4.88433333333334,182.0,14.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-61.3743333333333,-3.88933333333333,186.0,0.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-63.7188333333333,-4.56883333333335,186.0,16.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-66.623,-5.20233333333334,188.0,18.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-66.2231666666667,-4.7705,190.0,19.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-67.0373333333333,-5.04166666666666,191.0,12.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-66.0516666666667,-4.45483333333334,198.0,3.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-66.5855,-4.93883333333332,200.0,10.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-66.9563333333333,-5.20233333333334,203.0,0.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-63.7188333333333,-4.56883333333335,206.0,10.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-66.2521666666667,-4.78466666666668,207.0,3.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-36.25,-4.91666666666666,43.0,7.0,Basalt,,Mizusaki et al. (2002)
-66.2016666666667,-4.87183333333333,209.0,3.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-63.1223333333333,-4.87066666666666,209.0,13.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-69.05,-5.425,210.0,13.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-65.2016666666667,-4.87516666666667,211.0,17.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-69.05,-5.425,213.0,0.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-66.2188333333333,-4.78466666666668,216.0,0.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-66.623,-5.20233333333334,217.0,17.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-66.3856666666667,-4.551,222.0,21.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-66.3856666666667,-4.551,223.0,23.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-67.0373333333333,-3.03833333333333,223.0,14.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-65.7188333333333,-4.56883333333335,223.0,23.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-67.0373333333333,-5.04166666666666,227.0,16.0,Xenolith,,Mizusaki et al. (2002)
-70.0198333333333,-5.59233333333332,229.0,12.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-66.9563333333333,-5.20233333333334,233.0,0.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-66.0716666666667,-3.517,233.0,14.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-65.7521666666667,-4.56883333333335,238.0,0.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-65.0,-3.33333333333335,142.0,10.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-62.0,-4.0,163.0,7.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-64.0,-6.0,170.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-64.0,-6.0,182.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-70.1666666666667,-7.0,294.0,22.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-70.1666666666667,-7.0,307.0,12.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-54.3251666666667,-2.106,118.0,10.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-54.0216666666667,-1.88516666666667,118.0,10.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-58.6061666666667,-3.6565,123.0,0.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-54.3218333333333,-2.106,137.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-54.6061666666667,-3.3535,138.0,11.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-51.2166666666667,-0.95,163.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-51.2166666666667,-0.95,171.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.8846666666667,-3.656,172.0,0.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-54.55,-2.0,173.0,3.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.6213333333333,-3.8915,177.0,0.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.185,-3.35333333333332,179.0,0.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-57.5176666666667,-3.85166666666666,181.0,3.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-57.086,-3.301,183.0,3.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.6213333333333,-3.8915,194.0,0.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.6676666666667,-4.809,197.0,0.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-54.0528333333333,-3.15066666666666,198.0,7.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-59.7221666666667,-3.32433333333333,202.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-57.0526666666667,-3.301,203.0,11.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-53.0548333333333,-1.12183333333335,204.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-57.0526666666667,-3.301,204.0,10.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.185,-3.35333333333332,204.0,10.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.8846666666667,-3.656,203.0,0.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-57.0526666666667,-3.301,206.0,11.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.6213333333333,-3.8915,209.0,10.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.6213333333333,-3.8915,210.0,10.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-59.0838333333333,-3.87183333333334,210.0,21.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.6213333333333,-3.8915,213.0,0.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-57.0526666666667,-3.301,213.0,11.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-51.422,-1.34233333333333,218.0,7.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.618,-3.8915,220.0,0.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.6676666666667,-4.809,222.0,10.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.5398333333333,-3.21983333333332,227.0,11.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-59.0691666666667,-3.823,228.0,33.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-54.3218333333333,-2.106,232.0,19.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.5431666666667,-3.25316666666666,240.0,11.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.5366666666666,-4.16716666666667,247.0,12.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-57.5176666666667,-3.85166666666666,249.0,13.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-54.3218333333333,-2.106,239.0,26.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-57.0526666666667,-3.301,303.0,19.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-54.3195,-2.2,126.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-54.5,-2.0,140.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-56.0,-4.5,144.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-51.25,-1.08333333333334,163.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-51.25,-1.08333333333334,171.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-49.8333333333333,1.83333333333335,176.0,0.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.3333333333333,-7.33333333333333,179.0,3.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-60.0,-3.33333333333335,202.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-53.5,-1.75,204.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-51.5,2.08333333333335,207.0,18.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-51.0,-6.08333333333334,210.0,14.0,103,,Mizusaki et al. (2002)
-49.5383333333333,-0.936666666666668,56.0,1.0,Rhyolite,,Mizusaki et al. (2002)
-49.5383333333333,-0.936666666666668,86.0,1.0,Basalt,,Mizusaki et al. (2002)
-45.4048333333333,-2.99216666666667,114.0,44.0,Diabase,,Mizusaki et al. (2002)
-45.4048333333333,-2.99216666666667,187.0,0.0,Diabase,,Mizusaki et al. (2002)
-45.4048333333333,-2.99216666666667,171.0,31.0,Diabase,,Mizusaki et al. (2002)
-43.3955,-2.67,109.0,0.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-42.1011666666667,-2.8905,124.0,6.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-42.9338333333333,-2.90316666666666,228.0,38.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-42.3333333333333,-6.83333333333334,126.0,4.0,Diabase,,Mizusaki et al. (2002)
-44.0,-6.5,127.0,2.0,Diabase,,Mizusaki et al. (2002)
-42.9166666666667,-6.83333333333334,127.0,4.0,Diabase,,Mizusaki et al. (2002)
-44.1216666666667,-6.12166666666666,133.0,10.0,Diabase,,Mizusaki et al. (2002)
-42.5515,-3.60016666666667,133.0,11.0,Diabase,,Mizusaki et al. (2002)
-47.4873333333333,-3.52266666666668,180.0,3.0,Diabase,,Mizusaki et al. (2002)
-46.5383333333333,-5.53333333333333,182.0,0.0,Diabase,,Mizusaki et al. (2002)
-44.54,-5.33333333333334,184.0,16.0,Diabase,,Mizusaki et al. (2002)
-47.4873333333333,-5.52266666666668,187.0,0.0,Basalt,,Mizusaki et al. (2002)
-48.0,-6.41666666666666,124.0,10.0,Basalt,,Mizusaki et al. (2002)
-47.5,-5.33333333333334,136.0,7.0,Basalt,,Mizusaki et al. (2002)
-36.273,-6.635,57.0,1.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.8581666666667,-5.5675,80.0,2.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-37.2671666666667,-6.35816666666667,144.0,2.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-46.5,-6.0,123.0,3.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-48.0,-6.5,147.0,2.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-47.9833333333334,-6.48333333333332,150.0,2.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-46.4833333333333,-6.01666666666667,138.0,2.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-48.0,-7.0,172.0,4.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-47.9883333333333,-6.48833333333335,214.0,3.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-46.5166666666667,-5.98333333333332,213.0,3.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-46.0885,-8.03833333333334,198.0,0.0,Diabase,,Mizusaki et al. (2002)
-46.1,-7.421,209.0,0.0,Diabase,,Mizusaki et al. (2002)
-40.4711666666667,-2.41983333333334,43.0,12.0,Breccia tholeiit.,,Mizusaki et al. (2002)
-40.4711666666667,-2.41983333333334,44.0,3.0,Breccia tholeiit.,,Mizusaki et al. (2002)
-39.0373333333333,-3.026,83.0,6.0,Diab. tr./alk.?,,Mizusaki et al. (2002)
-39.0833333333333,-6.81716666666668,211.0,0.0,Diab. tr./alc,,Mizusaki et al. (2002)
-39.0,-6.75,169.0,0.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-39.0,-6.75,173.0,0.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-39.0,-6.75,173.0,0.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-39.0,-6.75,176.0,0.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-39.0,-6.75,179.0,0.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-39.0,-6.75,180.0,0.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.2386666666667,-4.92316666666667,44.0,4.0,Diab.tr./alk.,,Mizusaki et al. (2002)
-36.2386666666667,-4.92316666666667,47.0,1.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.85,-5.57166666666666,83.0,1.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-36.8666666666667,-5.60166666666665,89.0,1.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-37.1015,-5.33866666666665,100.0,10.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-36.9533333333333,-5.75833333333333,123.0,0.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-37.3166666666667,-5.86666666666667,124.0,29.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-35.5856666666667,-4.83933333333334,130.0,13.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-37.085,-5.705,133.0,2.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.3333333333333,-5.83333333333334,133.0,3.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-37.0566666666667,-5.69,139.0,1.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.6666666666667,-5.9175,150.0,4.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-39.0,-6.66666666666666,186.0,12.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-39.1666666666667,-6.66666666666666,214.0,7.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-36.4673333333333,-4.92266666666666,42.0,3.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.2386666666667,-4.92316666666667,43.0,7.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-36.135,-5.635,130.0,2.0,Diabase,,Mizusaki et al. (2002)
-36.0878333333333,-5.55,133.0,2.0,Diabase,,Mizusaki et al. (2002)
-36.5071666666667,-5.13333333333333,42.0,3.0,Basalt,,Mizusaki et al. (2002)
-36.5071666666667,-5.13333333333333,123.0,4.0,Diabase,,Mizusaki et al. (2002)
-36.17,-5.67166666666667,126.0,4.0,Diabase,,Mizusaki et al. (2002)
-36.17,-5.67166666666667,129.0,2.0,Diabase,,Mizusaki et al. (2002)
-36.17,-5.67166666666667,131.0,4.0,Diabase,,Mizusaki et al. (2002)
-36.3333333333333,-5.66666666666666,140.0,10.0,Diabase,,Mizusaki et al. (2002)
-34.989,-8.45083333333332,102.0,1.0,Dacite,,Mizusaki et al. (2002)
-38.5063333333333,-17.3356666666667,59.0,2.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-39.3905,-18.7703333333333,48.0,4.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-39.8038333333333,-19.509,80.0,13.0,Bas.tholeiitic,,Mizusaki et al. (2002)
-29.35,-20.4716666666667,61.0,2.0,Ankaratrite,,Mizusaki et al. (2002)
-29.35,-20.4716666666667,61.0,2.0,Ankaratrite,,Mizusaki et al. (2002)
-29.35,-20.4716666666667,85.0,3.0,Ankaratrite,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,41.0,1.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,42.0,4.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,43.0,1.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,43.0,4.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,44.0,3.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,44.0,4.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,46.0,7.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,47.0,4.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,48.0,2.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,50.0,2.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,52.0,2.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,61.0,0.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,64.0,7.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-38.7,-17.9666666666667,63.0,6.0,Diab.tholeiitic,,Mizusaki et al. (2002)
-40.1416666666667,-22.321,81.0,3.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-41.921,-23.7673333333333,92.0,29.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-40.8356666666667,-22.735,93.0,3.0,Bas. tr./alk.,,Mizusaki et al. (2002)
-41.5428333333333,-23.4673333333333,103.0,4.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-41.6881666666667,-23.653,107.0,3.0,Diab. tr./alk.,,Mizusaki et al. (2002)
-40.822,-22.7201666666667,110.0,6.0,Bas. tr./alk.,,Mizusaki et al. (2002)
